"koordinate "	"id. Broj"	"naziv djela"	"ime autora"	"prezime autora"	"godina nastanka"	"tehnika"	"format"	"vlasnik"	"link vlasnik"	"foto kredits"	"glavni narativ uz djelo )pojavljije se kao prvi pasus)"	"sekundarni narativ uz djelo, slijedi nakon prvog, služi obično da se povežu pojedine tačke"	"narativ za koji se veže. Ako ih ima više razdvojiti ih sa tačka zarez, npr: Miunović Milo;Boka kotorska; ovo se pojavljuje nakon teksta o jedinici "	"Column2"	"Column3"	"Column4"	"Column5"
"42.38138178738, 18.929656612162027"	1199	"Cetinje sa Lovćenom"	"Vera"	"Lubarda"	1949	"akvarel na papiru"	"17x41"	"NMCG"		"Geoculture"	"Apstraktna kompozicija impresija podlovćenskog kraja. Kolorit je zeleno-smeđi, dok se u pozadini izdvaja masivni Lovćenski vrh pod snijegom."		"Vera Lubarda; Cetinje"				
"42.4383544960469, 19.266592062026092"	1200	"Pejzaž sa Ribnice"	"Ljubo"	"Brajović"		"ulje na kartonu"	"50x69,5"	"JU Muzeji i galerije Podgorice"			"Brajovićev rad karakteriše spoj realističke reprezentacije i poetskog ublažavanja forme. Prizor je prepoznatljiv, ali nije dokumentaristički. Preovladavaju ujednačeni, suzdržani tonovi (uglavnom zemljani, zeleni i modri), sa naglaskom na atmosferu umjesto na dramske kontraste."		"Ljubo Brajović; Podgorica"				
	1201	"Ribarsko selo"	"Jovan Jovo"	"Ivanović"		"ulje na platnu"	"74,5x100"	"JU Muzeji i galerije Podgorice"			"Ivanović je poznat po motivima crnogorskih primorskih scena, malih mjesta, starih naselja. Okrenut uglavnom ka apstrakciji i intenzivnom koloritu, motive svodi na osnovne oblike u kojima dominira snažan potez."		"Jovan Jovo Ivanović"				
"42.470850431294544, 19.359398107135828"	1202	"Crnogroski pejzaž (Medun)"	"Petar "	"Lubarda"	1956	"ulje na platnu"	"65x81"	"JU Muzeji i galerije Podgorice"			"Kompozicijom dominira snažan, ekspresivan pristup pejzažu, karakterističan za njegov lirsko-ekspresionistički rukopis. Kosmač je prikazan kroz stilizovane oblike brda, kamenih površina i vegetacije kao i  razbacanih formi koje predstavljaju kuće, kao kolorističke akcente. Sam prostor dobija osjećaj volumena i dubine zahvaljujući kontrastima svjetlih i tamnih partija u rasponu od bjelih do tamno plavih."		"Petar Lubarda; Cetinje"				
"42.34780255840395, 19.054049226068003"	1203	"Sa skadarskog jezera"	"Petar "	"Lubarda"		"ulje na platnu"	"99,5x140"	"JU Muzeji i galerije Podgorice"			"Motiv je prikazan kroz monumentalnu, ekspresivnu stilizaciju. Jezero, obala i okolni pejzaž nijesu prikazani realistički, već kroz snažne, ritmičke oblike i volumene koji naglašavaju dinamiku i emotivni naboj prostora. Kompoziciju karakteriše dramatična upotreba svjetla i sjenke, široki potezi kista i gust nanos boje, što stvara osjećaj monumentalnosti i unutrašnje energije prirode. Tonovi su pastelni, iz registra sivih i plavih, često u kontrastu tamnih i svijetlih površina. Motiv Skadarskog jezera česta je tema Lubardinih slika, skica i crteža, u kojima polazi od prepoznatljivih formi koje svodi na apstrahovane, jedva prepoznatljive elemente. Struktura pejzaža odražava Lubardinu sposobnost da stvarni motiv transformiše u simbolički i poetski izraz."		"Petar Lubarda; Skadarsko jezero"				
"42.43960968321376, 19.257072511496098"	1204	"Titograd"	"Petar"	"Lubarda"	1963	"ulje na platnu"	"285x430"	"JU Muzeji i galerije Podgorice"			"Grad je redukovan na geometrijske i volumenske elemente: krovovi, ulice i zgrade oblikovani su širokim potezima i jasno definisanim izrazito svjetlim masama. Koristi intenzivne kontrastne tonove, tople oker, crvene i zemljane boje u kombinaciji sa hladnijim plavim ili sivim površinama, kako bi naglasio volumene i atmosferu. Monumentalna kompozicija koja predstavlja pogled na grad sa svim prepoznatljivim urbanim punktumima iako nije sasvim ispoštovana vjerodostojnost. Kompozicija više nalikuje nekoj vrsti herojske predstave grada u uzletu. Scena pulsira ritmom ponavljajućih oblika, što daje slikarsku živost i energiju, u kombinaciji realističnog i poetskog viđenja.

"		"Petar Lubarda; Podgorica"				
	1205	"Kamenjar"	"Nikica"	"Raičević"		"ulje na platnu"	"68,5x99,5"	"JU Muzeji i galerije Podgorice"			"Polazi od crnogorskog ambijenta - krševitog reljefa kanjona Cijevne koji tretira kroz atmosferu. Njegove kompozicije su realizovane u zemljanim, oker, sivo-plavim i maslinastim nijansama često su naglašene kontrastima intenzivnijih poteza. Svjetlost je jedna od ključnih odrednica. Iako polazi od konkretnog pejzaža redukuje ga do apstrakcije i razvija tokom čitave karijere."		"Nikica Raičević; Podgorica"				
"42.27760297646268, 18.834986939581704"	1206	"Budva"	"Filip R."	"Vučković"		"ulje na impregniranom kartonu"	"27x35"	"JU Muzeji i galerije Podgorice"			"Slika prikazuje karakterističan pogled na Stari grad Budvu, izveden u prepoznatljivom lirskom maniru Filipa Vučkovića. Kompozicija je zasnovana na kontrastu toplih kamenih tonova zbijene, mediteranske arhitekture i intenzivne svjetlosti koja obasjava obalu. Horizont je smiren, more blago treperi, sa uzburkanošću u prvom planu. Rad odiše mediteranskom toplinom i intimnim doživljajem pejzaža, fokusirajući se na svjetlost kao glavni nosilac izraza."		"Filip Vučković; Budva"				
"42.48058347998228, 19.303445442885497"	1207	"Most na Morači"	"Nikola"	"Vujošević"	1972	"ulje na platnu"	"137x110"	"JU Muzeji i galerije Podgorice"			"Prepoznatljivi motiv mosta nad kanjonom Morače u njegovom ranom, još uvijek jasno figurativnom izrazu. Most je predstavljen jednostavnim, geometrizovanim linijama, skoro stopljen sa strmim stijenama oblikovanim u prelomljenim plohama sive, oker sa po nekim bakarnim akcentima."		"Nikola Vujošević"				
"42.43530884718264, 19.260004776946595"	1208	"Stara varoš"	"Nikola"	"Vujošević"		"ulje na kartonu"	"43x72"	"JU Muzeji i galerije Podgorice"			"Rad predstavlja ambijent starog urbanog jezgra kroz snažno stilizovan, modernistički redukovan izraz. Arhitektura Stare varoši - uske ulice, zbijene kuće, dominantne vertikale sat-kule i krovova - nije prikazana deskriptivno, već svedena na geometrijske fragmente, plohe i ritmične linijske strukture. Vujoševićev rukopis karakterišu jasni grafički naglasci i izražen osjećaj taktilnosti, kao da se strukture grada nižu u slojevima linija i ploha.

"		"Nikola Vujošević; Podgorica"				
"42.436424279455764, 19.259637701766113"	1213	"Bez naziva (Stara varoš)"	"Savo"	"Vujović"		"linorez"	"21,5x28,7"	"JU Muzeji i galerije Podgorice"			"U suprotstavljanju svjetlih i tamnih partija realizovan je dio ulice Stare varoši koja prolazi između kuća dok se u pozadini nazire Sahat kula."		"Savo Vujović; Podgorica"				
"42.48798026731533, 18.695319129727732"	1214	"Perast"	"Savo"	"Vujović"		"linorez"	"21x29"	"JU Muzeji i galerije Podgorice"			"Kompoziciju karakteriše smirenost i uravnoteženost: široke površine mora i neba kontrastiraju zgusnutim, tamnijim strukturama grada, sa prepoznatljivim urbanim tačkama. Umjesto detalja, Vujović koristi redukovane linije, meke prelaze i tonalne gradacije kojima prizor poprima lirski, gotovo meditativni karakter. Pejzaž je definisan oslanjajući se na odnos svjetla i tame umjesto na kolorističke kontraste. Perast je predstavljen putem stilizovanih silueta arhitekture i obale, čije se forme raščlanjuju u jasne, ritmizovane plohe sivih tonova.
"		"Savo Vujović; Perast"				
"42.43852631316689, 19.260786575562673"	1215	"Stara varoš"	"Miloš"	"Vušković"	1953	"ulje na kartonu"	"44,5x69"	"JU Muzeji i galerije Podgorice"			"Kompozicija je uravnotežena i prozračna, sa jasnim odnosom svjetla i sjenke, a boje - često u hladnim tonovima plave, sive i zemljane - naglašavaju tišinu i meditativni ugođaj prostora. Perspektiva je diskretna, stvarajući osjećaj intimnog pogleda na gradski ambijent, dok pojednostavljeni volumeni i harmonija tonova grade kontemplativnu, gotovo poetičnu atmosferu. U središtu pažnje su kuće i ulice Stare varoši, koje su oblikovane pojednostavljenim oblicima i čistim linijama, dok detalji arhitekture i tekstura služe više kao sugestija nego kao realistički prikaz."		"Miloš Vušković; Podgorica"				
"42.39043742238815, 18.92634012423035"	1250	"Predio sa Cetinja"	"Vera"	"Lubarda"	1950	"ulje na platnu"	"54x73,5"	"NMCG"		"Geoculture"	"Predstava ulice u centru Cetinja, oslikava mirnu atmosferu malog grada sredinom prošlog vijeka. Stilski i koloristički realizovana po uzoru na rane radove njenog profesora Mila Milunovića."		"Vera Lubarda; Cetinje"				
"42.51377194058414, 18.69492627919966"	1251	"Risan"	"Petar"	"Martinović"	1956	"crtež olovkom"	"25,5x35,5"	"NMCG"		"Geoculture"	"Prikazana je veduta Risna, sa skromnim kućama uz samu obalu i njihovim odrazima u mirnoj vodi zaliva. Crtež, izveden suzdržanim potezima i blagim tonskim gradacijama, naglašava sklad između naselja i strmih planinskih padina u pozadini"		"Petar Martinović; Risan"				
"42.3903694051621, 18.926186352776753"	1252	"Cetinjski krovovi"	"Milo"	"Milunović"	1946	"ulje na platnu"	"97,4x65,4"	"NMCG"		"Geoculture"	"Prikazan je pogled na Cetinje ka jugoistoku, sagledan sa sprata Osnovne škole „Njegoš“. U kadru se jasno prepoznaju zgrade nekadašnje Banske uprave i Zetskog doma, kao istaknuti elementi urbanog i kulturno-istorijskog identiteta grada."		"Milo Milunović; Cetinje"				
"42.257837645885424, 18.893773200545358"	1253	"Kuća na Svetom Stefanu "	"Milo"	"Milunović"		"pastel na papiru "	"31x53,5"	"NMCG"		"Geoculture"	"Prizor djeluje gotovo poput skice, sa sumarno definisanim prednjim planom i kućama zbijenim na lijevoj strani kompozicije."		"Milo Milunović; Sveti Stefan"				
"42.256861,18.892869"	1254	"Sveti Stefan"	"Milo"	"Milunović"		"ulje na platnu"	"90x115"	"NMCG"		"Geoculture"	"Pogled na poluostrvo iz gornjeg rakursa, sa bujnim rastinjem i stazom sa plažom koja ga spaja sa kopnom. Slika predstavlja vjeran prikaz predjela u duhu poetskog realizma, a realizovana je u toplom koloritu. Kroz formalno redukovane, ali koloritno raskošne kompozicije, Milunović oblikuje prostor koji je istovremeno univerzalan i označava duboku vezu sa podnebljem iz kojeg je potekao. Djela iz različitih faza njegovog opusa mogu se vidjeti u Narodnom muzeju Crne Gore na Cetinju, u memorijalnoj sobi posvećenoj Milunoviću u okviru stalne postavke Umjetničke galerije."		"Milunović Milo; Sveti Stefan"				
"42.469294928757876, 19.361423135967595"	1255	"Medun Marka Miljanova"	"Milena "	"Šotra"	1972	"ulje na platnu"	"90x120"	"NMCG"		"Geoculture"	"Akcenat je na kamenom ambijentu i arhitektonskoj strukturi utvrđenja, koji se stapaju s okolnim brdovitim pejzažom. Dominantan kolorit je zeleni, dok se brdo Medun izdvaja sivim nanosima, naglašavajući dramatičnost kompozicije."	"Na ovom mjestu nalaze se ostaci ilirskog grada Meteona, podignutog tokom III ili IV vijeka p. n. e. Grad je bio utvrđen, a imao je i kulu. Tu se nalazi grob Marka Miljanova, istaknutog crnogorskog književnika i vojvode."	"Milena Šotra; Podgorica"				
"42.20574779800534, 18.940515275688927"	1256	"Petrovac"	"Luka"	"Stanković"	1953	"crtež olovkom"	"27x34"	"NMCG"		"Geoculture"	"Prikaz plaže i figura u prvom planu predstavlja rijetkost u Stankovićevim crtežima, dok se u pozadini naziru obrisi naselja. Predstava je data prilično sumarno, sa rastinjem koje dominira, stvarajući gotovo romantizovanu sliku ovog primorskog mjesta."		"Luka Stanković; Petrovac"				
"42.450002405508386, 18.53600600197283"	1257	"Zora nad Bokom"	"Đurđe "	"Teodorović"	1951	"ulje na platnu"	"70x91"	"NMCG"		"Geoculture"	"Pogled na zaliv realizovan je kroz kontraste svjetlih partija vode i tamnih okolnih brda. Kolorit je sivo-plavi."		"Đurđe Teodorović; Herceg Novi"				
"42.27194662778926, 19.11976590245772"	1258	"Lesendro"	"Milentije"	"Živković"	1974	"ulje na platnu"	"50,5x56"	"NMCG"		"Geoculture"	"Prikazan je pogled na Skadarsko jezero i Vranjinu, sagledan sa tvrđave Lesendro, sa vidljivim ostacima nekadašnjih kuća. Površina slike tretirana je gotovo poentilistički, kroz suptilno variranje zelenih tonova."		"Milentije Živković; Skadarsko jezero"				
"42.359360521113636, 18.99953175713667"	1259	"Ukršteni putevi"	"Petar"	"Lubarda"	1961	"ulje na platnu"	"121x143"	"Prijestonica Cetinje/NMCG, Kolekcija Vukmanović"		"Geoculture"	"Na slici je prikazan snažno apstrahovan pejzaž izgrađen ritmom linija i slojevitim nanosima boje. Motiv puteva tek se nazire u prepletima svijetlih i tamnih masa, dok energični potezi i suzdržana paleta stvaraju osjećaj kretanja, napetosti i unutrašnje dinamike prostora. Ovo je faza u kojoj Lubardin pejzaž poprima simbolički karakter: slika se još jedva oslanja na konkretan prizor iz prirode, ali on više nije motiv sam po sebi, već katalizator unutrašnjeg doživljaja izraženog čistim slikarskim jezikom."		"Petar Lubarda"				
"42.42844301306198, 18.76852172947604"	1400	"Pogled prema Prčanju i Dobroti u Kotorskom kanalu (Dalmacija, Kotorski okrug)"	"Jakob"	"von Alt"	1846	"hromolitografija"		"Das pittoreske Oesterreich oder Album der österreichischen Monarchie"		"wikimedia"	"Ova hromolitografija Jakoba von Alta nastala je sredinom XIX vijeka i pripada ranoj fazi vizuelnog mapiranja Boke Kotorske u okviru austrijskog kulturnog i geografskog prostora. Prikaz Prčanja i Dobrote kombinuje topografsku preciznost s idealizovanom, gotovo pastoralnom atmosferom: mirna voda, jedrenjaci i figure u prvom planu služe kao mjerilo prostora i svakodnevice."		"Jakob von Alt; Kotor"				
"42.09197427084992, 19.132923952382345"	1401	"Antivari"	"Franz"	"Schwenfurth"	1858	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Šire gledano, interesovanje evropske publike za jadransku obalu u XIX vijeku povezano je sa romantičarskim otkrićem pejzaža, ali i sa geopolitičkim i trgovačkim ambicijama velikih carstava. Austrijsko (kasnije austrougarsko) prisustvo na Jadranu, razvoj luka poput Trsta i Kotora, kao i fascinacija “rubnim” prostorima Evrope, učinili su ovaj region čestom temom grafika, albuma i putopisa. Crnogorska obala se tako pojavljuje kao dio šire evropske vizuelne kulture – istovremeno bliska i drugačija, poznata i egzotična."		"Franz Schwenfurth; Bar"				
"42.27788785990145, 18.836079430289793"	1402	"Budua"	"Franz"	"Zeller"	1859	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Lloyd u Trstu, bio je ilustrovani godišnjak namijenjen širokoj građanskoj publici, u kojem su se obrazovna ambicija i vizuelna privlačnost svjesno povezivale. Oslanjajući se na putopisnu tradiciju i romantičarski pejzaž, publikacija je donosila prizore evropskih i mediteranskih prostora kroz radove jasno potpisanih autora, poput Louisa Gurlitta, Franza Xavera Zellera i njihovih gravera. Prikazi Boke Kotorske, Budve, Herceg Novog ili Kotorske luke oblikovani su tako da, pored topografske prepoznatljivosti, prenesu i atmosferu mjesta kroz odnos pejzaža, svjetla i kompozicije. Trst, kao velika luka i kulturni posrednik između Srednje Evrope i Mediterana, imao je ključnu ulogu u formiranju ovakvog vizuelnog pogleda na jadransku obalu."		"Franz Zeller; Budva"				
"42.20579854059734, 18.93531446176925"	1403	"Castel Lastva"	"Franz"	"Zeller"	1855	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Primorski pejzaž – brdoviti teren, vegetacija i more – prikazan je deskriptivno, s naglaskom na atmosferu i prostornu dubinu. Grafika ima dokumentarnu vrijednost, ali istovremeno zadržava slikarsku senzibilnost tipičnu za vedute tog perioda."	"U Petrovcu su Mlečani u XVI vijeku sagradili tvrđavu za garnizon, po kojoj je čitavo mjesto dobilo naziv Kastel Lastva. Ona je služila i kao magacin za smještaj vina i drugih proizvoda koji su se odatle prevozili brodovima. Uz tvrđavu je podignut i Lazaret, sanitarna zgrada koja je uglavnom služila kao karantin tokom epidemija. Danas su sačuvane samo zidine."	"Franz Zeller; Petrovac"				
"42.45075612586321, 18.534066298226016"	1404	"Herceg Novi, stari grad sa tvrđavom Forte Mare i obalom"	"Nepoznati autor"		1850	" čelična gravura  (Stahlstich)"		"Bibliographisches Institut, Hildburghausen"		"Geoculture"	"Bibliographisches Institut iz Hildburghausena bio je jedan od ključnih evropskih izdavača XIX vijeka, posebno poznat po enciklopedijskim i leksikografskim izdanjima poput Meyers Konversations-Lexikon. Grafike koje su nastajale u okviru ovog izdavačkog kruga imale su prvenstveno didaktičku i informativnu funkciju. Autori i graveri često nijesu potpisivani, jer je akcenat bio na institucionalnom autoritetu znanja, a ne na individualnom umjetničkom izrazu. "		"Herceg Novi"				
"42.38660243309886, 18.923559201428645"	1405	"Cetinjski manastir"	"Nepoznati autor"		1850	" čelična gravura  (Stahlstich)"		"Bibliographisches Institut, Hildburghausen"		"Geoculture"	"Iako su ilustracije koje je objavljivao Bibliographisches Institut, Hildburghausen, često obilježene nepreciznostima, pa ponegdje i pojednostavljenim, gotovo amaterskim pristupom, one su važne jer su kroz njih Crna Gora i njeni prostori ušli u evropski imaginarij kao „činjenice prostora“, sistematizovane i uklopljene u širi geografsko-kulturni poredak."						
"42.38405739548885, 18.929309806629597"	1406	"Cetinje"	"Johann"	"Högelmüller"	1840	"kolorisana litografija"				"Geoculture"	"Hromolitografija prikazuje Cetinjsko polje sa Cetinjskim manastirom u pozadini. Kompozicija je očigledno zasnovana na sekundarnim izvorima ili narativnom opisu, budući da je raspored planinskih masiva u pozadini topografski netačan. Ipak, litografija je naročito značajna zbog prikaza vodotoka u prvom planu – potoka ili rječice, vjerovatno rijeke Cetine, čiji je tok u to vrijeme još bio vidljiv kroz Cetinjsko polje."		"Cetinje"				
"42.48619190642518, 18.76704394841163"	1407	"Pogled na Kotorski zaliv"	"Heinrich Louis Theodor "	"Gurlitt"	1858	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Motiv ove gravire - ušće Ljute u zaliv - već se javlja na Gurlittovoj slici nastaloj nekoliko godina ranije. Ipak, izuzetno precizna topografija brda u drugom planu, koja izostaje na uljanoj slici, ukazuje na to da je za oba rada postojao zajednički crtački predložak, što je uostalom bila uobičajena praksa u to vrijeme. Ovaj primjer jasno pokazuje kako umjetnik prilagođava likovna rješenja specifičnostima medija u kojem radi."		"Heinrich Louis Theodor Gurlitt; Kotor"				
"42.45249481790978, 18.54260956113376"	1408	"Castel Nuovo"	"Heinrich Louis Theodor "	"Gurlitt"	1855	"bakrorez"	"12x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Prednji plan fokusira pažnju na minuciozno realizovano gusto rastinje. Centralno mjesto zauzima tvrđava sa zidinama koje se kaskadno spuštaju. Gravira se odlikuje preciznošću u crtežu arhitektonskih elemenata i topografskih oblika, evocirajući romantičnu atmosferu sredine XIX vijeka."	"Herceg Novi je osnovan 1382. godine od strane bosanskog kralja Tvrtka I Kotromanića, sa namjerom da se obezbijedi strateški izlaz bosanske države na more i uspostavi trgovačko i vojno uporište na ulazu u Bokokotorski zaliv. Grad je prvobitno nosio ime Sveti Stefan, a naziv Herceg Novi dobija sredinom XV vijeka, u vrijeme vladavine hercega Stjepana Vukčića Kosače, po njegovoj tituli hercega i značenju „novog“ grada. Tokom osmanske vladavine, započete u drugoj polovini XV vijeka, Herceg Novi dobija snažno fortifikaciono obilježje koje presudno oblikuje njegov urbani i vizuelni identitet. U tom periodu podignuta su i dograđivana ključna utvrđenja, među kojima se posebno ističu Kanli kula i Forte Mare, postavljene na dominantnim tačkama iznad obale i starog gradskog jezgra, kao trajni nosioci prepoznatljivosti grada."	"Heinrich Louis Theodor Gurlitt; Herceg Novi"				
"42.26280831146302, 18.89823386768716"	1409	"Zaliv između Budve i Svetog Stefana u Albaniji"	"Johann"	"Högelmüller"	1850	"litografija"	"19x26"			"Geoculture"	"Kompozicija predstavlja panoramski pogled na zaliv, s morem koje se širi prema horizontu, uz detaljno prikazane litice i tipičnu mediteransku obalu. U prvom planu pojavljuju se i dvije figure koje doprinose utisku žanr-scene. Prizor obuhvata dio jadranske obale između Budve i Svetog Stefana, tada u kartografskim nazivima XIX vijeka označen kao dio „Albanije“. Litografija pripada seriji topografskih i etnografskih prikaza namijenjenih upoznavanju pejzaža i mjesta Dalmacije. Crtež je izradio Johann Högelmüller, dok je litografiju izveo Franz Joseph Sandmann."		"Johann Högelmüller"				
"42.422012,18.771017"	1410	"Kotorska Luka"	"Heinrich Louis Theodor "	"Gurlitt"	1859	"bakrorez"	"11x19"	"""Illustriertes Familienbuch""  Trieste, Lloyd 1859"		"Geoculture"	"Putopisni albumi XIX vijeka predstavljaju jednu od najvažnijih formi vizuelnog “otkrivanja” Evrope samoj sebi. Nastajali su u kontekstu razvoja štampe, turizma, kartografije i imperijalnih interesa, a kombinovali su tekst i sliku kako bi čitaocu omogućili zamišljeno putovanje kroz “udaljene” ili “egzotične” krajeve. Jadranska obala, uključujući Crnu Goru, u tim albumima se često pojavljuje kao prostor susreta Mediterana i Balkana: slikovita, dramatična, istorijski slojevita, ali i politički nedovoljno poznata. Vizuelni jezik tih albuma balansira između dokumenta i imaginacije."		"Heinrich Louis Theodor Gurlitt; Kotor"				
"42.422158041312066, 18.764783276283474"	1411	"Kotor"	"Nepoznati autor"		1850	"čelična gravura  (Stahlstich)"		"Bibliographisches Institut, Hildburghausen"		"Geoculture"	"Gravure izdanja Bibliographisches Institut u Hildburghausenu potiču iz XIX vijeka i pripadaju tipu čeličnih gravura / bakroreza (Stahlstich), što ih razlikuje od drvoreza koji dominiraju u Yriarteovom putopisu. Ove ilustracije su enciklopedijskog i topografskog karaktera i nisu nastale po terenskim crtežima, već su sekundarni prikazi sakupljeni u geografskim atlasima i leksikonima koji su težili univerzalnom i neutralnom predstavljanju prostora."		"Kotor"				
"42.42225844900733, 18.79173593616751"	1412	"Boka Kotorska"	"Edward "	"Lear"	1866	"tuš na papiru"	"34x50"	"Aberdeen Archives, Gallery & Museums"		"wikimedia"	"Prozračna akvarelska skica u kojoj umjetnik prikazuje Lovćenski pejzaž kod Krsca sveden na široke tonove plavičastih i sivih lazura. Kompozicija počiva na dubinskom nizanju planinskih masiva i naglašenom kontrastu svjetla i sjenke, dok sitne figure služe kao mjerilo prostora i pojačavaju osjećaj monumentalnosti."		"Edward Lear"				
"42.153386833698825, 19.085769328750548"	1413	"Pogled na Skadarsko jezero"	"Anton"	"Karinger"	1868	"ulje na platnu"	"57x107"			"wikimedia"	"Pejzaž je realizovan u romantičarskom duhu, sa naglašenim osjećajem prostornosti i uzvišenosti prirode. Površina vode i udaljeni planinski vijenci modelovani su suptilnim tonskim prelazima, dok svjetlost ima ključnu ulogu u stvaranju atmosfere tišine i kontemplacije. Pejzaž je idealizovan, sa akcentom na harmoniji prirodnih elemenata, a ljudsko prisustvo, svedeno je na mjeru koja dodatno ističe veličanstvo prirode. Uprkos idealizaciji scene, predstava topografije ostaje izuzetno precizna. Ostaci arhitekture u prvom planu očigledno su dodati iz likovnih i narativnih razloga, što nije neuobičajen postupak u vedutističkim prikazima. Na lijevoj strani vidimo planinu Sutorman i put ka selu Gornji Limljani, koje se nazire u daljini. Desno, na morskoj strani, su prikazani tvrđava Haj Nehaj, Sutomorski zaliv i Barsko polje, jasno razdvojeni rtom Ratac sa ostacima Bogorodičinog manastira. U drugom planu, centralno, raspoznaju se masivi Rumije i Lisinja, dok su u najudaljenijem planu naznačeni masivi Prokletija i albanske obale, podjednako precizno predstavljeni."		"Anton Karinger; Skadarsko jezero"				
"42.3806985227584, 18.948239700638656"	1414	"Crnogorski put"	"Anton"	"Karinger"	1863	"ulje na platnu"		"Narodna galerija Slovenije"		"wikimedia"	"Pogled na jezero sa putem koji se probija kroz kameni, gotovo ogoljeni prostor. Figure u pokretu i nekoliko njih u prvom planu su ujedno i koloristički akcenti suprotstavljene surovoj, ali monumentalnoj prirodi. Karinger naglašava dramatičnost reljefa i osjećaj izolovanosti, koristeći prigušenu paletu zemljanih tonova i preciznu crtačku strukturu, karakterističnu za njegov romantičarski realizam. Kao protivteža je intenzivno plava boja vode i neba. Pejzaž je lišen dekorativnosti i fokusiran na autentičan doživljaj crnogorskog prostora, u kojem priroda dominira nad čovjekom."		"Anton Karinger"				
"42.47826884704593, 18.76349972283059"	1415	"Pogled na Kotorski zaliv"	"László"	"Mednyánszky"	"cca 1917"	"ulje na platnu"	"94x114"	"Art Collection of the Hungarian Academy of Sciences"		"wikimedia"	"Pogled na Kotorski zaliv predstavljen je kroz snažno dramatizovan pejzaž: strme planinske mase dominiraju kompozicijom, sa prenaglašenim proporcijama koje pojačavaju osjećaj monumentalnosti i tjeskobe. Tamni, gusti nanosi boje kontrastirani su svjetlijem nebu i mirnoj površini mora, čime se postiže izražen emotivni naboj i naglašava dramatičan odnos prirode i prostora."						
"42.41805376217392, 18.767961775596483"	1416	"Kotor"	"Carl Robert"	"Kummer"	1851	"ulje na platnu"	"30x40"			"wikimedia"	"Kotor je prikazan u tihom, zimskom svjetlu, koje ublažava kontraste i daje pejzažu suzdržanu, gotovo meditativnu atmosferu. Karakteristična brda su naglašena jasnim obrisima i monumentalnom masom, dok sitne figure u prvom planu dodatno pojačavaju osjećaj razmjere i prostorne dubine."		"Carl Robert Kummer; Kotor"				
"42.266355545013404, 19.111043678727523"	1417	"Lesendro"	"Michael Zeno"	"Diemer"	1917	"akvarel"	"21x33"			"wikimedia"	"Kompozicija je smirena, sa naglašenim odnosom između arhitekture i vodenog predjela, dok mekani tonski prelazi i suzdržana paleta boja stvaraju atmosferu tišine i melanholije. Akcenat je na ambijentu i ugođaju, koji je dodatno određen neuobičajenim prizorom pejzaža prekrivenog snijegom. Prikaz dodatno ukazuje na u to vrijeme još očuvanu arhitekturu fortifikacije, u kojoj se jasno razaznaju pojedini elementi danas svedeni na ruševine. Istovremeno se sagledava i njena nekadašnja strateška pozicija."	"Lesendro je tvrđava na Skadarskom jezeru, smještena u blizini Vranjine, na prostoru koji je do izgradnje pruge Beograd–Bar imao karakter ostrva. Podignuta u XVIII vijeku, imala je važnu odbrambenu i kontrolnu ulogu nad jezerskim saobraćajem, ribolovom i trgovinom. U vrijeme vladike Petra II Petrovića Njegoša tvrđava je obnovljena i ojačana, te je služila kao strateško uporište u sukobima sa Osmanlijama. Nakon perioda osmanske uprave, Lesendro je oslobođen 1878. godine i pripojen Crnoj Gori, zajedno sa Žabljakom Crnojevića, čime prestaje njegova vojna funkcija."	"Michael Zeno Diemer; Skadarsko jezero"				
"42.420042716160104, 18.771742496570173"	1418	"Boka Kotorská "	"Oldřich "	"Koníček "	1916	"ulje na platnu"				"wikimedia"	"Panoramski pogled na Kotor i Bokokotorski zaliv sagledan je iz povišene tačke, sa jasno strukturisanom kompozicijom i uravnoteženim odnosom grada, mora i planinskog vijenca. Mirna površina zaliva i ritam brodova u luci suprotstavljeni su masivnim, obojenim planinama u pozadini, dok svijetla paleta i razigrani potez naglašavaju vedrinu i otvorenost prostora. "		"Oldřich Koníček; Kotor"				
"42.42351156751697, 18.761200505886613"	1419	"Kotorska luka"	"Jean-Baptiste-François "	"Génillion"	1810	"ulje na platnu"	"98x65"	"Musée National de la Marine de Paris"		"wikimedia"	"Luka Kotora prikazana je kao živopisan pomorski prizor, u kojem brodovi u pokretu ispunjavaju nemirnu površinu zaliva. Grad se prostire u podnožju strmih, zelenih planina, čija monumentalnost uokviruje scenu i naglašava strateški i slikoviti karakter prostora, dok dramatično nebo dodatno pojačava osjećaj dinamike i istorijske važnosti luke.
"		"Jean-Baptiste-François Génillion; Kotor"				
